historical_demand,inventory_level,raw_material_cost,machine_utilization,supplier_rating,lead_time,temperature,pressure,labor_hours,production_cost,procurement_source,safety_risk
205,4952,448.91,97.63,2.85,18,90.62,159.69,29.32,9577.81,External,Medium
621,743,545.39,86.19,1.11,25,96.0,137.45,8.09,4504.73,InHouse,High
718,4666,838.25,95.87,4.99,27,72.34,130.2,49.77,3309.41,InHouse,Medium
451,3762,467.61,70.2,3.63,2,24.89,179.46,5.79,7652.84,InHouse,High
796,1820,629.36,72.46,1.75,20,67.28,297.76,5.45,7716.86,InHouse,Low
132,3087,424.6,76.57,2.47,28,113.35,120.59,22.12,5231.67,External,Medium
895,3384,673.94,74.04,2.42,16,73.68,94.72,18.2,6373.01,InHouse,Medium
957,648,459.31,54.7,1.52,7,43.16,26.91,42.99,5861.48,External,Low
869,2308,451.69,65.49,2.22,21,21.21,270.39,23.76,5537.68,InHouse,High
530,1135,430.09,94.95,4.0,15,101.42,91.73,38.04,7040.09,External,Medium
142,1570,766.26,50.76,4.39,16,50.92,75.09,35.97,9197.57,External,Low
687,4135,177.87,66.44,2.87,21,80.84,45.44,28.47,3271.86,InHouse,High
703,1235,209.26,86.18,3.17,5,76.43,167.76,23.44,7671.23,External,Low
556,4299,756.73,89.72,1.58,6,36.67,42.88,40.69,7197.12,External,High
458,1709,526.78,64.03,3.24,16,31.35,196.61,21.91,8574.67,External,High
751,1580,642.85,73.97,2.87,18,100.41,221.24,27.66,6546.47,InHouse,Low
283,637,407.98,99.7,3.02,28,84.08,37.22,36.02,4982.78,InHouse,Low
616,502,712.02,84.69,3.21,20,63.53,185.08,30.7,9398.28,External,High
227,2621,199.92,78.05,3.66,22,112.4,83.08,17.95,5978.13,External,Low
387,3822,629.45,77.02,3.71,11,99.01,66.42,47.54,8635.52,InHouse,Medium
175,4258,710.11,77.8,3.69,22,22.23,167.23,39.01,1289.44,External,Medium
334,4166,587.0,81.33,1.03,17,60.74,131.86,39.92,5742.73,External,High
618,4848,865.64,94.93,4.49,13,25.26,198.98,33.13,8732.35,External,Low
819,3245,793.34,95.04,3.12,8,28.18,261.58,23.79,2163.97,InHouse,High
954,396,836.72,94.95,4.15,19,63.48,131.63,31.7,9362.93,External,Medium
747,2165,899.47,72.57,1.44,13,28.85,268.44,10.72,5055.65,External,Low
70,3134,494.29,91.92,1.11,2,46.37,213.78,36.16,5962.34,External,High
470,3491,857.02,52.75,3.89,2,66.07,70.37,25.51,2490.95,External,Low
541,4288,461.33,99.02,4.09,24,119.25,167.38,43.28,5263.57,InHouse,Medium
929,4785,802.06,59.11,2.54,23,29.11,250.02,27.0,7044.98,InHouse,Medium
481,1236,750.12,61.42,1.47,9,110.49,42.2,24.88,5738.93,InHouse,Low
597,4494,591.42,74.59,3.75,15,92.07,38.12,32.48,5245.39,InHouse,Medium
156,3471,582.02,56.78,1.72,6,65.68,149.73,17.97,1556.83,InHouse,Low
101,1004,994.06,55.67,3.89,13,31.8,267.81,44.28,6306.68,External,High
313,4950,767.79,67.33,1.25,10,55.43,42.67,35.12,4009.58,InHouse,Low
212,2047,597.23,79.05,4.27,28,90.25,54.67,16.7,2645.82,External,High
98,3716,625.81,70.74,2.18,25,100.33,86.23,29.13,3227.99,InHouse,High
883,842,890.13,63.6,2.13,21,62.48,182.7,49.79,4352.63,External,Medium
322,4168,197.44,91.58,2.3,19,112.83,141.94,43.09,2948.02,InHouse,Medium
293,2520,844.28,65.01,1.66,20,44.11,41.57,39.66,5982.8,External,High
328,1776,961.51,76.06,1.74,25,112.14,281.56,18.65,4284.22,InHouse,Medium
733,4824,233.77,84.88,4.99,14,27.4,162.1,49.09,3869.85,InHouse,Medium
402,1940,452.77,96.37,2.87,19,44.2,145.33,27.43,9469.12,InHouse,Medium
626,2224,656.59,68.53,4.89,19,56.16,92.82,24.16,7830.04,InHouse,Medium
963,2590,458.99,90.12,2.59,5,40.68,201.33,21.34,9034.22,InHouse,Medium
152,4797,679.25,92.29,2.7,18,62.84,221.43,13.51,1566.54,InHouse,Low
240,796,413.76,67.81,2.19,24,28.84,234.75,38.76,3452.47,InHouse,Medium
305,3734,743.13,59.71,3.67,11,85.8,39.28,36.01,4320.56,InHouse,Medium
939,3429,564.56,82.34,1.46,14,70.92,54.15,41.26,6630.32,External,Low
903,1524,146.9,59.62,2.88,27,66.05,66.87,5.4,1353.28,InHouse,High
357,2495,891.54,76.86,4.02,28,47.5,254.6,13.49,7858.47,External,High
150,2103,665.3,78.13,4.88,16,58.92,186.43,40.68,3474.91,InHouse,High
627,4881,241.98,53.79,4.27,6,99.0,208.92,49.41,4678.44,InHouse,Low
762,4045,808.2,90.6,1.19,24,106.23,159.64,49.53,4065.83,External,Low
301,174,100.06,68.98,3.41,7,21.39,136.57,39.03,7079.08,InHouse,High
255,2598,706.2,87.11,4.13,11,57.19,91.33,40.67,7366.05,InHouse,High
564,4621,989.58,73.49,2.69,12,36.39,16.98,48.01,7817.03,External,High
326,350,628.58,85.6,2.88,19,51.86,22.85,18.79,3912.13,InHouse,Low
684,2136,992.35,94.22,5.0,30,93.69,35.44,19.89,7424.52,External,Low
396,4696,439.94,50.7,3.63,1,86.31,16.89,12.82,3733.86,External,High
564,1506,207.57,54.49,3.72,11,72.55,290.56,35.48,8534.47,InHouse,Low
970,2878,127.72,71.87,2.15,16,59.19,279.05,27.25,1868.88,External,Low
680,1227,690.71,72.37,2.17,19,105.22,70.08,11.02,5382.78,InHouse,Medium
484,324,856.98,95.21,4.37,11,54.25,114.01,45.53,7491.27,InHouse,High
848,1394,287.93,63.83,3.43,11,83.21,235.43,36.58,8369.41,External,Low
195,4333,203.63,53.65,2.37,1,38.26,145.41,11.92,5042.49,External,Low
803,1719,747.21,65.78,1.05,15,114.87,240.6,34.76,1694.18,External,High
915,4735,372.05,80.82,1.76,26,112.82,199.89,18.51,4243.25,External,Low
578,3687,114.52,81.25,2.11,6,46.9,34.12,7.19,4049.72,External,High
855,1218,816.86,56.21,2.14,28,41.58,147.24,9.04,8638.36,InHouse,Low
851,3222,557.99,81.99,1.34,14,106.19,48.24,38.93,9871.22,InHouse,Medium
151,4872,259.45,90.23,3.54,6,62.06,162.95,25.8,5903.68,External,Medium
204,745,461.3,61.1,1.39,21,104.61,224.85,21.65,1673.23,External,High
122,4759,936.86,87.94,3.1,11,106.95,222.22,16.34,4321.06,External,High
770,3033,333.68,93.05,3.71,16,86.63,290.82,34.47,2185.12,External,Low
763,2622,935.87,60.92,3.13,30,39.26,148.59,22.71,4970.06,External,Medium
560,3354,871.26,58.31,1.5,1,56.89,193.84,17.47,6797.19,InHouse,Low
505,702,245.18,57.05,2.29,3,50.04,174.71,9.95,1101.67,External,High
871,420,985.9,91.06,3.63,24,112.52,132.48,22.08,9453.39,InHouse,Medium
812,1006,238.42,56.28,4.54,5,74.87,29.24,47.11,8223.18,External,High
567,1465,297.49,60.87,4.44,17,100.58,103.32,24.52,2162.85,External,Low
485,1652,100.69,56.02,1.49,3,78.97,168.42,21.65,1953.14,InHouse,Medium
875,1976,283.02,66.99,2.97,12,48.61,215.04,42.92,4736.83,External,Low
795,599,496.64,59.16,2.47,24,90.1,285.16,14.37,3209.32,External,Medium
447,3641,172.26,95.8,4.65,15,88.01,186.72,15.99,5802.77,External,High
314,888,996.65,66.13,3.21,15,39.75,257.61,44.35,4125.87,External,Low
157,4594,316.38,59.8,1.86,25,100.4,228.57,29.08,1159.56,InHouse,Medium
295,970,358.95,95.14,4.71,7,56.9,219.56,49.0,9871.22,External,Low
956,3783,976.1,65.04,4.42,14,29.74,180.84,35.38,2461.72,External,Medium
615,4500,766.54,52.16,2.86,23,69.87,262.45,21.28,7046.21,External,Low
672,4181,231.76,82.99,2.95,22,94.1,48.43,39.85,7210.8,InHouse,Low
439,2088,763.78,64.9,3.93,3,115.28,19.94,8.6,2779.91,InHouse,Low
650,3432,816.21,90.66,1.05,21,118.75,232.65,33.76,5403.91,External,High
207,312,434.63,89.69,3.93,15,26.17,120.71,8.26,8757.22,External,Medium
952,789,457.83,59.08,3.9,17,74.94,252.64,42.13,4050.36,InHouse,High
372,3541,194.16,88.06,3.8,30,77.55,267.89,43.72,1752.26,InHouse,High
152,1217,884.85,95.23,2.37,16,86.86,222.19,5.65,9010.08,External,High
997,2534,169.28,78.15,2.61,27,66.73,225.3,20.91,3209.6,External,Medium
439,616,694.64,79.43,3.2,27,78.6,35.68,23.83,7845.12,InHouse,High
348,2459,904.18,84.57,2.58,18,62.3,62.08,35.78,1020.98,InHouse,Low
67,2741,784.9,85.26,2.59,4,60.95,20.25,34.4,8767.66,InHouse,High
902,3729,757.57,61.24,4.71,2,54.48,206.39,28.36,7501.47,InHouse,Low
110,4647,583.81,72.11,1.14,16,24.88,223.87,34.92,3457.37,External,Low
147,3291,468.74,81.1,3.24,11,112.35,277.81,33.12,9370.18,InHouse,Low
888,787,216.64,95.02,2.08,21,61.76,79.58,9.15,6849.26,External,Medium
420,522,930.26,85.54,1.1,7,30.67,282.04,16.45,6515.66,InHouse,Low
816,1247,911.62,76.01,3.68,14,42.92,116.53,30.05,8674.06,External,Low
426,1309,650.53,73.98,1.96,21,102.4,123.58,11.9,1911.87,External,Low
669,2472,110.28,62.53,3.66,3,44.35,85.53,46.79,3676.07,InHouse,High
328,2267,878.75,84.15,4.23,19,60.16,119.41,23.13,8990.54,InHouse,High
311,4429,977.58,62.45,3.33,12,119.66,264.24,18.5,5648.45,External,High
414,2491,931.9,65.76,3.01,29,95.56,81.1,34.84,3501.48,InHouse,High
633,2085,837.16,60.86,3.08,6,61.45,246.14,5.28,1892.05,InHouse,Low
553,2089,892.71,83.48,3.01,30,74.15,255.36,43.21,4132.64,External,Low
84,4424,782.64,82.16,1.21,14,109.7,89.69,33.46,3155.22,External,Medium
339,1861,430.97,92.3,3.02,30,101.25,272.82,31.11,6612.56,InHouse,High
595,1508,438.18,80.79,4.61,6,36.29,154.3,16.99,1592.67,External,Low
181,2590,259.94,89.46,4.06,20,113.11,123.05,14.45,8666.21,InHouse,High
199,2523,171.8,93.62,4.28,21,58.64,49.91,26.27,5916.14,External,Low
358,4008,252.08,77.53,4.18,20,56.41,81.67,37.39,7903.7,InHouse,Medium
892,4775,938.74,99.14,1.54,5,93.22,158.63,29.4,5389.09,External,Low
666,253,252.85,73.58,1.24,7,108.29,224.47,39.64,5569.2,External,Low
687,4094,823.97,89.82,4.74,7,101.19,241.28,27.0,1336.89,InHouse,High
988,778,847.53,51.26,2.77,27,46.88,43.09,39.88,4002.82,InHouse,Medium
288,316,199.75,93.23,3.62,27,118.7,225.56,48.95,8648.49,External,High
415,3718,312.36,66.71,4.4,18,103.52,222.13,33.63,7601.51,InHouse,High
899,3580,624.47,67.69,1.93,16,53.2,24.36,49.69,1557.62,InHouse,Low
907,206,168.17,67.98,4.11,9,35.92,217.89,11.15,4136.66,External,Low
139,2186,174.18,96.88,3.41,23,101.94,96.79,15.23,2791.01,External,Low
951,3695,348.43,96.51,2.32,4,111.21,157.28,33.43,9823.95,External,Low
666,2792,592.89,99.64,3.77,27,36.66,299.85,50.0,2132.12,InHouse,Low
983,2869,568.18,61.64,4.34,12,74.4,227.16,25.27,2233.43,External,Medium
847,2818,908.78,54.49,2.72,23,44.42,95.23,24.11,1667.55,External,Medium
310,2573,543.78,53.62,3.9,9,64.38,298.51,28.87,2360.65,External,High
824,3125,329.59,95.75,4.86,21,85.35,184.57,13.74,1184.98,InHouse,Medium
632,2112,246.01,70.04,3.53,18,95.52,273.38,49.1,4897.45,InHouse,High
687,1741,328.24,55.94,2.27,19,33.77,177.36,38.99,6223.61,External,High
156,2062,820.28,90.22,4.36,10,49.08,159.11,22.75,3401.82,InHouse,High
375,1800,724.56,60.54,4.86,6,60.78,205.67,48.44,8304.34,InHouse,Low
663,787,219.15,95.01,3.75,15,75.42,245.73,34.86,6591.61,InHouse,Low
864,4324,107.98,73.65,2.33,21,115.17,96.39,23.34,3823.7,External,High
667,1823,945.31,95.31,4.53,17,117.11,139.33,27.35,7848.69,InHouse,Medium
129,927,980.37,71.2,4.71,14,48.82,141.4,36.14,2473.62,InHouse,Low
369,3396,800.02,92.21,3.86,15,106.83,60.45,23.15,3644.35,External,Low
335,3035,299.68,83.92,1.59,26,68.54,255.16,32.98,1965.52,InHouse,Medium
987,1705,766.81,59.65,1.78,18,29.6,294.89,9.69,6930.6,External,High
636,737,985.77,66.04,1.58,17,114.53,110.48,15.91,5293.56,InHouse,Low
224,953,236.9,66.55,3.27,10,114.28,210.43,45.98,6629.71,External,Low
730,3807,475.28,51.36,2.86,25,62.84,24.23,32.32,6998.76,External,Low
482,2722,301.49,50.78,1.8,24,75.23,183.41,24.58,4252.95,InHouse,High
204,891,991.93,83.06,3.57,28,85.81,172.86,6.13,3013.64,InHouse,Medium
690,732,772.74,76.87,1.83,8,50.84,204.43,29.26,8189.42,External,Low
386,322,395.53,67.45,1.25,6,67.28,282.88,44.66,1701.11,External,Low
373,1796,530.0,53.66,1.13,8,71.64,103.89,40.9,5607.69,InHouse,Low
345,3301,118.95,75.73,1.02,23,109.26,21.02,15.56,3062.62,InHouse,Medium
788,746,748.02,70.6,4.31,23,84.15,160.68,37.52,8095.17,InHouse,High
502,3396,801.17,59.37,4.08,22,77.68,278.42,6.07,4055.18,External,Medium
310,2609,749.9,51.54,4.16,20,92.72,19.0,39.69,4929.97,External,Medium
211,2704,168.01,67.93,4.99,18,31.22,48.04,24.43,9824.82,External,Medium
585,2037,952.33,50.63,2.43,30,95.97,153.28,19.12,4014.86,InHouse,Low
679,219,143.64,94.29,3.75,13,59.27,74.53,45.24,6650.78,External,Low
988,4442,584.5,88.52,3.28,26,80.47,195.57,14.48,5802.6,External,Low
841,4284,277.93,66.63,1.59,15,54.36,267.61,26.16,3399.84,InHouse,Low
158,1485,298.05,59.72,1.13,24,23.38,41.33,31.22,5578.69,InHouse,Medium
319,4244,302.24,76.44,4.49,22,26.08,209.11,49.97,2628.83,External,High
760,2118,675.89,64.34,4.39,7,95.37,183.23,39.22,9488.26,InHouse,High
94,401,251.08,52.65,1.47,15,89.32,130.98,21.94,2895.68,External,Low
201,4966,711.03,88.3,4.96,6,112.43,293.45,43.65,7618.7,InHouse,Low
74,4343,263.75,85.76,2.68,21,77.09,235.08,42.47,5634.59,InHouse,Medium
240,3731,496.7,57.0,4.85,15,103.09,112.32,16.18,6814.5,InHouse,High
925,2058,211.41,78.31,4.65,14,67.09,168.65,8.01,9363.99,InHouse,Low
566,4618,910.76,91.85,2.83,16,87.14,151.18,22.05,5119.88,InHouse,Low
246,3615,792.64,70.55,4.76,4,102.56,194.8,14.43,4412.25,External,Low
879,2320,209.81,69.0,4.3,8,73.21,82.25,16.77,5199.94,External,High
355,137,328.84,98.85,3.29,16,93.09,142.22,33.7,9503.78,External,Low
104,4948,838.23,51.87,3.45,21,100.52,298.74,13.82,3267.95,External,Medium
366,3429,732.12,59.3,1.85,16,33.49,174.53,27.48,4481.14,InHouse,High
375,2687,309.61,94.73,2.65,7,93.3,104.27,25.78,4816.89,InHouse,High
198,3251,509.84,70.27,1.46,7,38.99,241.77,38.16,9151.36,InHouse,Medium
695,939,685.8,78.87,1.67,30,116.9,186.9,41.08,7024.56,InHouse,Low
817,3727,502.35,93.51,2.57,12,64.07,28.64,35.69,5336.75,InHouse,Medium
124,4661,546.33,54.68,2.26,29,91.86,254.58,37.48,5230.65,External,High
73,2795,628.25,60.53,2.36,21,106.78,206.48,34.63,6833.55,External,High
289,3192,856.66,68.08,4.21,4,98.7,44.71,49.66,1238.43,InHouse,Low
805,3881,462.06,88.37,2.56,25,39.72,127.77,19.97,5223.25,External,Medium
859,2488,331.45,84.05,4.87,17,67.65,233.0,35.48,4245.55,InHouse,High
476,4485,902.75,95.99,3.53,7,91.07,83.76,7.27,9405.73,External,High
433,1360,939.15,99.69,4.72,17,75.48,283.82,44.93,4359.9,InHouse,Low
490,977,754.74,59.63,2.7,13,84.75,56.99,33.1,4794.99,InHouse,Low
886,4658,685.44,99.97,2.32,1,23.66,143.19,29.64,3063.08,External,Medium
758,288,296.93,93.45,1.67,30,89.72,11.78,6.35,8772.89,InHouse,Low
118,4478,431.63,86.93,2.65,13,45.49,68.75,16.27,7495.49,External,Low
193,2910,696.99,68.14,4.5,7,98.06,168.73,22.44,6660.83,External,High
115,1370,199.52,62.2,1.54,5,69.89,179.35,26.47,8634.35,InHouse,Low
346,2048,728.8,90.7,1.19,25,101.21,95.67,18.27,5940.55,InHouse,Low
401,3845,370.71,79.72,1.89,17,98.74,121.71,27.12,9044.25,External,High
445,784,261.72,51.8,4.46,1,30.63,173.26,40.35,8013.25,InHouse,Low
133,4600,184.85,87.71,3.29,16,70.46,73.54,33.35,1172.64,InHouse,Medium
501,4534,630.93,66.93,2.57,1,43.68,73.71,24.42,3867.66,External,High
534,1503,948.2,82.73,2.13,5,83.71,113.57,12.69,6652.75,InHouse,Medium
770,2563,229.25,99.58,1.5,6,110.75,129.73,11.34,7567.57,External,Low
993,2468,862.15,54.3,3.03,17,55.3,247.06,8.47,9145.16,InHouse,Medium
957,4667,731.51,65.14,1.86,19,64.97,237.38,30.99,6842.87,InHouse,Low
954,2437,393.58,64.2,3.3,10,112.84,239.0,10.26,9285.24,InHouse,Low
274,1298,596.31,81.84,1.06,17,30.44,237.03,44.69,1690.2,External,Medium
360,4358,635.25,74.31,2.63,16,21.08,82.45,39.27,5248.23,External,Medium
457,781,466.83,75.72,3.9,2,57.11,280.29,9.14,2123.66,InHouse,High
893,506,328.53,73.31,3.28,5,89.87,198.5,23.47,2241.39,InHouse,Medium
681,2112,680.54,55.93,2.47,28,51.99,63.37,30.85,6107.59,External,Low
926,3601,521.03,69.94,3.26,25,26.85,192.53,13.57,8314.4,InHouse,High
436,733,490.55,88.23,4.6,7,53.33,200.04,47.67,4201.04,External,Medium
164,2604,520.62,80.73,3.08,9,82.6,218.77,32.31,3200.72,InHouse,Medium
858,3509,410.6,99.16,2.18,28,55.07,272.76,5.25,8207.13,External,High
561,1745,356.91,60.76,1.49,24,105.37,95.55,24.43,5798.3,External,High
846,3699,368.79,76.09,2.28,13,118.86,124.49,19.22,4818.54,External,Low
221,4380,601.66,55.1,4.95,27,108.99,177.87,40.26,6944.99,InHouse,High
724,4772,686.6,83.32,2.33,6,49.81,68.67,16.27,9570.91,External,Low
806,789,851.34,61.53,3.31,26,76.57,299.51,15.68,3262.61,External,High
254,4238,263.65,67.62,2.25,7,48.97,200.37,16.98,9089.99,InHouse,Medium
898,2459,595.31,58.8,1.81,22,27.12,157.85,20.34,3391.84,InHouse,Medium
600,2318,350.31,55.29,1.69,10,80.35,13.19,27.51,2568.77,InHouse,Medium
190,2847,748.56,65.9,4.59,26,66.54,171.47,18.96,7039.0,InHouse,High
147,606,492.4,75.9,1.41,18,91.2,266.95,48.47,3971.65,External,High
976,4308,149.23,97.17,1.09,19,86.71,16.09,23.06,6939.7,InHouse,High
790,210,281.33,94.63,4.5,2,29.09,43.12,28.69,4844.59,External,High
186,4618,593.58,92.35,2.73,5,29.65,143.3,32.42,3365.35,External,Medium
170,3387,348.82,96.23,4.6,11,93.01,35.34,27.56,8058.9,InHouse,High
269,3220,659.61,95.02,4.67,14,82.03,36.93,28.83,6091.89,InHouse,Low
898,2384,279.03,69.56,3.7,26,78.49,111.21,35.34,3890.21,External,Medium
307,3688,367.89,57.84,3.2,27,23.29,50.27,21.82,8620.03,External,High
572,229,354.21,80.31,3.08,14,40.67,131.98,49.41,4772.28,InHouse,Medium
381,4060,772.94,57.54,1.41,23,86.51,167.45,29.16,7993.74,External,High
359,925,877.12,79.6,4.06,11,94.88,71.55,13.36,3459.56,External,Medium
864,1950,922.9,66.11,1.89,6,27.42,63.61,49.7,1715.97,External,Low
864,1537,659.3,50.94,2.81,6,23.55,141.24,19.48,6694.8,External,High
639,115,782.88,71.84,3.89,10,106.36,93.18,44.99,6137.88,External,Medium
428,4247,970.14,89.96,2.98,22,85.9,166.66,48.78,5642.43,InHouse,High
902,1317,996.17,84.37,4.3,6,105.23,80.67,29.37,6492.51,InHouse,Medium
726,649,757.51,94.33,1.21,16,74.7,263.01,45.91,8044.38,External,Low
272,2334,181.46,62.85,2.41,27,77.15,218.53,17.59,2511.75,External,Medium
599,1492,989.66,60.78,3.93,15,28.31,155.87,12.46,9511.14,InHouse,High
564,4600,899.16,53.08,3.91,21,76.43,196.85,24.77,1488.43,InHouse,High
883,2665,170.44,56.84,3.73,22,87.33,286.38,31.4,2776.1,External,Medium
165,3192,411.55,80.7,1.12,1,35.56,250.94,7.33,1222.46,External,Low
710,379,515.2,75.58,2.2,21,114.88,91.13,37.62,1968.49,InHouse,Low
660,3368,671.85,63.03,1.1,14,24.03,153.87,24.29,7992.43,External,Medium
645,1201,922.6,91.32,3.63,7,77.95,216.13,39.41,4385.65,InHouse,Low
623,2337,142.16,62.26,1.5,1,73.34,256.31,11.93,7385.2,External,High
297,564,441.52,96.56,4.25,25,64.46,280.39,17.49,4131.72,InHouse,High
840,3454,798.41,81.76,2.35,8,23.58,138.66,26.59,4020.13,External,Medium
235,279,237.24,72.9,1.86,9,64.42,91.9,28.42,2243.08,InHouse,Medium
672,231,190.7,80.85,2.83,17,112.66,25.72,45.21,7773.72,InHouse,Low
793,1059,747.21,58.6,4.92,15,67.48,253.86,28.15,3552.06,InHouse,Low
458,3992,598.01,74.93,3.38,18,30.58,215.09,32.71,2592.25,External,High
882,781,135.72,56.81,1.1,2,31.38,287.78,41.56,3516.05,InHouse,High
729,2283,913.93,65.84,1.14,21,77.1,108.93,28.7,7590.6,InHouse,Medium
844,2380,374.18,57.91,4.66,11,118.09,108.04,5.26,2981.57,External,Medium
216,3127,619.77,60.52,1.43,30,26.73,95.27,30.15,6873.6,External,High
866,1099,366.71,61.17,4.81,8,78.78,279.6,24.26,5361.01,External,High
703,3252,480.33,86.55,2.6,3,35.35,172.78,11.91,5623.81,External,High
714,2005,686.94,54.69,3.41,7,88.04,168.18,31.66,8714.49,External,High
991,4298,372.1,67.39,2.08,26,26.78,109.73,9.23,2078.03,InHouse,Low
67,590,208.09,97.14,1.4,24,119.89,41.85,41.51,3784.58,External,Medium
669,4931,637.01,96.58,2.51,26,46.15,218.43,31.92,7195.85,InHouse,Medium
94,4969,389.96,75.4,2.8,30,108.05,210.02,17.5,4957.82,External,Low
322,1399,481.82,73.91,3.27,9,23.93,46.57,35.71,5229.8,InHouse,Medium
790,1815,619.46,54.3,2.08,9,91.83,25.71,8.42,6843.65,InHouse,Medium
897,1116,359.67,50.2,1.05,4,70.59,212.01,34.98,5038.55,External,High
252,3886,831.31,96.6,4.25,26,112.07,117.97,47.56,3965.03,External,High
742,4472,129.02,73.9,1.25,18,96.15,33.83,35.37,8508.46,External,Low
902,1435,461.93,59.53,4.66,17,116.64,236.93,33.83,8941.66,InHouse,High
887,3678,389.97,66.68,3.94,16,55.82,118.12,13.63,4075.5,InHouse,High
707,1670,635.42,51.18,3.23,17,116.97,130.13,33.03,6492.44,External,High
531,756,596.82,70.52,3.78,28,51.39,212.09,16.3,2755.57,InHouse,Medium
411,2557,201.63,72.23,1.85,24,34.39,124.89,31.45,1593.48,InHouse,Medium
482,141,833.37,90.86,4.93,8,92.79,179.25,40.33,5486.45,External,High
483,1331,173.86,56.58,2.92,21,35.46,83.06,42.12,1026.83,InHouse,High
681,3343,386.53,73.02,1.94,20,66.17,41.14,44.78,2116.49,InHouse,Low
632,345,186.46,64.11,1.62,6,58.53,76.45,15.67,5408.41,InHouse,Medium
